model,n_params,rank,mag,mag_over_median
pythia-410m,405334016,17,5.6328125,4.303674687555003
pythia-410m,405334016,18,5.6279296875,4.299944040287705
pythia-410m,405334016,19,5.34375,4.0828203693309595
pythia-410m,405334016,20,5.287109375,4.039544861030302
pythia-410m,405334016,21,5.2685546875,4.02536840141457
pythia-410m,405334016,22,5.20703125,3.9783622458466152
pythia-410m,405334016,23,5.15234375,3.936578996452877
pythia-410m,405334016,24,5.01953125,3.835105390782371
pythia-410m,405334016,25,5.01953125,3.835105390782371
pythia-410m,405334016,26,5.00390625,3.823167319527017
pythia-410m,405334016,27,4.9765625,3.8022756948301484
pythia-410m,405334016,28,4.97265625,3.79929117701631
pythia-410m,405334016,29,4.9482421875,3.78063794067982
pythia-410m,405334016,30,4.9365234375,3.7716843872383046
pythia-410m,405334016,31,4.9169921875,3.756761798169112
pythia-410m,405334016,32,4.8798828125,3.7284088789376475
pythia-410m,405334016,33,4.8193359375,3.682148852823152
pythia-410m,405334016,34,4.6875,3.581421376606105
pythia-410m,405334016,35,4.685546875,3.579929117699186
pythia-410m,405334016,36,4.658203125,3.5590374930023168
pythia-410m,405334016,37,4.59765625,3.5127774668878216
pythia-410m,405334016,38,4.5576171875,3.4821861592959777
pythia-410m,405334016,39,4.517578125,3.451594851704134
pythia-410m,405334016,40,4.5078125,3.4441335571695375
pythia-410m,405334016,41,4.50439453125,3.441522104082429
pythia-410m,405334016,42,4.40576171875,3.366163029283009
pythia-410m,405334016,43,4.3564453125,3.328483491883299
pythia-410m,405334016,44,4.33984375,3.3157992911744856
pythia-410m,405334016,45,4.2626953125,3.2568550643511767
pythia-410m,405334016,46,4.2412109375,3.2404402163750654
pythia-410m,405334016,47,4.20556640625,3.2132064913237897
pythia-410m,405334016,48,4.1875,3.199403096434787
pythia-410m,405334016,49,4.1787109375,3.192687931353651
pythia-410m,405334016,50,4.15673828125,3.1759000186508097
pythia-410m,405334016,51,4.1494140625,3.1703040477498625
pythia-410m,405334016,52,4.1171875,3.1456817757856954
pythia-410m,405334016,53,4.060546875,3.1024062674850383
pythia-410m,405334016,54,4.0244140625,3.074799477707033
pythia-410m,405334016,55,4.001953125,3.057638500277462
pythia-410m,405334016,56,3.97607421875,3.0378660697607827
pythia-410m,405334016,57,3.92529296875,2.999067338180883
pythia-410m,405334016,58,3.90478515625,2.9833986196582316
pythia-410m,405334016,59,3.8828125,2.9666107069553904
pythia-410m,405334016,60,3.87744140625,2.9625069949613625
pythia-410m,405334016,61,3.84130859375,2.9349002051833573
pythia-410m,405334016,62,3.83935546875,2.933407946276438
pythia-410m,405334016,63,3.83837890625,2.932661816822978
pythia-410m,405334016,64,3.81396484375,2.914008580486488
pythia-1.4b,1414647808,1,1136.5,953.7193198107136
pythia-1.4b,1414647808,2,579.125,485.98565867609284
pythia-1.4b,1414647808,3,157.28125,131.98606842848992
pythia-1.4b,1414647808,4,101.15625,84.88752304848438
pythia-1.4b,1414647808,5,46.8203125,39.29030936280251
pythia-1.4b,1414647808,6,39.8984375,33.48166359349782
pythia-1.4b,1414647808,7,28.87109375,24.227822167568277
pythia-1.4b,1414647808,8,22.89453125,19.212456463823255
pythia-1.4b,1414647808,9,17.05078125,14.308543331272565
pythia-1.4b,1414647808,10,15.3359375,12.869493956145725
pythia-1.4b,1414647808,11,15.12109375,12.689203032154891
pythia-1.4b,1414647808,12,13.271484375,11.1370620774338
pythia-1.4b,1414647808,13,12.470703125,10.465068633467963
